distance(cm), x(px), y(px)
300, 390, 374
400, 295, 301
500, 247, 227
600, 206, 192
700, 176, 171
800, 156, 151
900, 137, 131
1000, 124, 120
1100, 112, 107
1200, 103, 98
1300, 95, 91
1400, 88, 85
1500, 83, 79
1600, 79, 76
1700, 74, 73
1800, 70, 68
1900, 66, 64
2000, 64, 62
2100, 60, 57
2200, 55, 54
2300, 53, 53
2400, 52, 51
2500, 50, 48
2600, 48, 47
2700, 45, 45
2800, 44, 44
2900, 43, 41
3000, 41, 40
